1	265
3	289
5	261
7	253
9	265
11	261
13	237
15	225
17	225
19	227
21	215
23	225
25	235
27	235
29	247
31	229
33	241
35	225
37	259
39	241
41	283
43	265
45	225
47	265
49	227
51	265
53	241
55	265
57	241
59	231
61	231
63	247
65	283
67	225
69	225
71	247
73	283
75	265
77	247
79	265
81	283
83	265
85	241
87	265
89	247
91	283
93	241
95	235
97	265
99	225
101	271
103	269
105	265
107	225
109	247
111	247
113	253
115	263
117	267
119	271
121	247
203	265
123	247
125	247
127	253
129	253
131	267
133	247
135	241
137	283
139	247
141	257
143	283
145	247
147	253
149	253
151	283
153	253
155	253
157	253
159	267
161	267
163	253
165	247
167	261
169	253
171	253
173	253
175	261
177	247
179	283
181	261
183	269
185	289
187	289
189	253
191	289
193	253
195	289
197	283
199	267
201	265
205	253
207	283
209	253
211	261
213	265
215	21
217	21
219	21
221	67
223	21
225	67
227	47
229	31
231	59
233	59
235	39
237	59
239	39
241	57
243	39
245	39
247	111
249	59
251	39
253	149
255	59
257	137
259	37
261	211
263	79
265	79
267	161
269	79
271	111
273	111
275	111
277	111
279	111
281	207
283	137
285	95
287	39
289	3
1	265
3	289
5	249
7	249
9	269
11	261
13	261
15	225
17	225
19	219
21	219
23	221
25	253
27	253
29	225
31	229
33	229
35	221
37	229
39	241
41	253
43	229
45	225
47	229
49	261
51	253
53	261
55	261
57	261
59	233
61	233
63	247
65	237
67	225
69	225
71	225
73	237
75	261
77	225
79	261
81	233
83	261
85	253
87	261
89	225
91	237
93	259
95	235
97	261
99	247
101	247
103	227
105	247
107	225
109	247
111	271
113	253
115	247
117	265
119	247
121	247
203	265
123	247
125	265
127	253
129	239
131	255
133	265
135	265
137	257
139	265
141	283
143	257
145	225
147	283
149	253
151	253
153	257
155	257
157	283
159	267
161	267
163	283
165	247
167	289
169	283
171	253
173	235
175	289
177	283
179	257
181	229
183	265
185	283
187	283
189	283
191	289
193	261
195	249
197	289
199	269
201	265
205	229
207	281
209	249
211	249
213	265
215	21
217	21
219	21
221	35
223	21
225	67
227	47
229	33
231	59
233	59
235	173
237	59
239	135
241	59
243	129
245	135
247	121
249	5
251	135
253	137
255	129
257	137
259	93
261	193
263	135
265	135
267	161
269	199
271	111
273	111
275	111
277	111
279	111
281	207
283	169
285	151
287	151
289	3
1	267
3	257
5	289
7	289
9	267
11	289
13	289
15	225
17	225
19	215
21	215
23	235
25	259
27	229
29	225
31	259
33	259
35	225
37	229
39	259
41	237
43	269
45	225
47	265
49	263
51	265
53	259
55	263
57	259
59	237
61	237
63	241
65	237
67	225
69	225
71	247
73	237
75	265
77	225
79	263
81	283
83	269
85	259
87	269
89	225
91	237
93	259
95	243
97	263
99	225
101	247
103	263
105	263
107	271
109	247
111	247
113	253
115	263
117	267
119	247
121	247
203	269
123	247
125	263
127	253
129	255
131	265
133	247
135	259
137	257
139	263
141	257
143	257
145	247
147	253
149	253
151	257
153	257
155	253
157	253
159	267
161	267
163	253
165	247
167	289
169	257
171	253
173	253
175	289
177	253
179	257
181	249
183	269
185	257
187	253
189	253
191	289
193	257
195	289
197	257
199	267
201	269
205	289
207	281
209	253
211	289
213	267
215	21
217	21
219	105
221	45
223	21
225	67
227	21
229	31
231	191
233	137
235	95
237	65
239	95
241	95
243	95
245	95
247	121
249	179
251	95
253	147
255	129
257	147
259	57
261	79
263	79
265	79
267	161
269	203
271	111
273	111
275	111
277	111
279	111
281	207
283	81
285	95
287	137
289	191
